ABBR,STATE,TOTPOP20,OTHERPOP20,BVAP20,NWBHVAP20,NWBHPOP20,APAPOP20,OTHERVAP20,AMINVAP20,WPOP20,NHPIPOP20,2MOREPOP20,APAMIVAP20,BPOP20,ASIANPOP20,NHPIVAP20,ASIANVAP20,VAP20,APBPOP20,APAMIPOP20,APAVAP20,2MOREVAP20,APBVAP20,WVAP20,DOJBVAP20,AMINPOP20,HVAP20,POCVAP20,POCVAP20%,POCVAP20SEATS
OH,Ohio,11799448.0,45217.0,1073902.0,278920.0,368673.0,377303.0,28843.0,15496.0,8954135.0,4493.0,501562.0,171578.0,1457180.0,296604.0,3233.0,228920.0,9207562.0,1704492.0,234389.0,271124.0,302248.0,1188984.0,7218892.0,1146890.4166666667,18949.0,336028.0,1988670.0,0.2159822545859588,3.239733818789382
OK,Oklahoma,3959353.0,13602.0,212976.0,305760.0,425922.0,123614.0,10012.0,219638.0,2407188.0,8168.0,373679.0,423192.0,283242.0,89653.0,5082.0,69282.0,3010698.0,382698.0,633831.0,87335.0,234233.0,258909.0,1963854.0,240089.7,311890.0,295621.0,1046844.0,0.3477080730116405,1.7385403650582023
OR,Oregon,4237256.0,22962.0,60012.0,224202.0,280364.0,275296.0,17541.0,32769.0,3036158.0,18197.0,258685.0,136731.0,78658.0,191797.0,13091.0,156707.0,3370652.0,134692.0,185726.0,203785.0,174863.0,90455.0,2526275.0,78784.11666666667,42042.0,389394.0,844377.0,0.2505085069594844,1.5030510417569065
PA,Pennsylvania,13002700.0,54541.0,1039831.0,453133.0,583926.0,603726.0,36798.0,12123.0,9553417.0,3162.0,451285.0,137134.0,1368978.0,506674.0,2519.0,398348.0,10353548.0,1655034.0,189164.0,449690.0,275661.0,1189064.0,7884010.0,1107797.3333333333,15028.0,704258.0,2469538.0,0.23852093987491052,4.054855977873479
RI,Rhode Island,1097379.0,11392.0,41924.0,43367.0,54291.0,48450.0,8453.0,2699.0,754050.0,320.0,52250.0,16647.0,55386.0,38367.0,255.0,31412.0,887594.0,99925.0,23357.0,36946.0,34428.0,70366.0,642435.0,52083.899999999994,3513.0,125988.0,245159.0,0.2762062384378443,0.5524124768756886
SC,South Carolina,5118425.0,19354.0,964667.0,99642.0,130070.0,123666.0,12598.0,13333.0,3178552.0,3085.0,189580.0,79729.0,1269031.0,89394.0,2212.0,70272.0,4014460.0,1370528.0,108111.0,88832.0,116279.0,1014656.0,2603975.0,993515.25,16591.0,231124.0,1410485.0,0.3513511157166842,2.459457810016789
SD,South Dakota,886667.0,2050.0,11408.0,59109.0,90879.0,18489.0,1472.0,47084.0,705583.0,493.0,34432.0,60618.0,17441.0,13332.0,395.0,9918.0,669255.0,26307.0,98842.0,12406.0,19042.0,14956.0,556081.0,13748.716666666665,74595.0,23855.0,113174.0,0.16910445196524493,0.16910445196524493
TN,Tennessee,6910840.0,23977.0,812207.0,136380.0,179506.0,178683.0,15557.0,12745.0,4900246.0,3594.0,270223.0,123061.0,1083772.0,134302.0,2625.0,103925.0,5384473.0,1196114.0,161436.0,128390.0,173401.0,864737.0,3958296.0,845129.5833333333,15539.0,305717.0,1426177.0,0.2648684467356415,2.383816020620774
TX,Texas,29145505.0,113584.0,2575257.0,1384053.0,1806251.0,1849226.0,77691.0,67248.0,11584597.0,27857.0,886095.0,584904.0,3444712.0,1561518.0,20144.0,1205578.0,21866700.0,3964700.0,794062.0,1358922.0,575470.0,2837841.0,9437993.0,2689112.6500000004,85425.0,7907319.0,12428707.0,0.5683851244129201,21.598634727690964
UT,Utah,3271616.0,12566.0,25370.0,118086.0,159088.0,125088.0,8588.0,20985.0,2465355.0,35831.0,120452.0,58774.0,37192.0,78618.0,23424.0,62825.0,2324051.0,67128.0,87234.0,86281.0,68249.0,39879.0,1798000.0,33700.48333333334,28690.0,316610.0,526051.0,0.2263508847267121,0.9054035389068484
VT,Vermont,643077.0,2561.0,6143.0,12955.0,16344.0,16182.0,1929.0,1632.0,573201.0,170.0,29549.0,12780.0,8649.0,11457.0,144.0,9117.0,524482.0,14422.0,16900.0,11665.0,20258.0,9038.0,474146.0,7903.166666666666,1986.0,11113.0,50336.0,0.09597278838930602,0.09597278838930602
VA,Virginia,8631393.0,45394.0,1224840.0,532342.0,687605.0,757282.0,29385.0,15376.0,5058363.0,6195.0,404910.0,131743.0,1578090.0,610612.0,4754.0,478337.0,6745054.0,1799960.0,180239.0,555088.0,241069.0,1341203.0,4136979.0,1286458.3,19080.0,614314.0,2608075.0,0.3866648065382427,4.25331287192067
WA,Washington,7705281.0,43221.0,223861.0,740346.0,937003.0,939846.0,31957.0,68149.0,4918820.0,62490.0,511114.0,224554.0,296170.0,723062.0,43639.0,584457.0,6024689.0,446240.0,313633.0,701888.0,323448.0,301490.0,4058504.0,271085.0,91191.0,690674.0,1966185.0,0.3263546051920688,3.263546051920688
WV,West Virginia,1113285.0,2774.0,26276.0,12033.0,15112.0,14947.0,1831.0,1642.0,997552.0,252.0,43780.0,17829.0,32721.0,9954.0,195.0,8181.0,887852.0,48092.0,23131.0,10939.0,28196.0,32910.0,805392.0,31130.933333333334,1892.0,16139.0,82460.0,0.09287583966697152,0.18575167933394304
WI,Wisconsin,5893718.0,17613.0,258704.0,176794.0,244053.0,216345.0,12562.0,35459.0,4634018.0,1892.0,203746.0,99751.0,366508.0,174267.0,1446.0,126019.0,4612300.0,452743.0,144572.0,146640.0,119815.0,296313.0,3774226.0,281285.01666666666,48384.0,284069.0,838074.0,0.18170413893285345,1.4536331114628276
WY,Wyoming,576851.0,2425.0,3666.0,14314.0,19983.0,9473.0,1760.0,7883.0,469664.0,489.0,23674.0,18433.0,4735.0,5037.0,355.0,4139.0,441337.0,9661.0,27480.0,6520.0,15340.0,5928.0,370041.0,5057.1,11781.0,38153.0,71296.0,0.16154548564928842,0.16154548564928842
